step,episode,reward,episode_length,loss
2,1,-1.0,2.0,0.1988690346479416
4,2,1.0,2.0,0.3164157271385193
6,3,-1.0,2.0,0.17937587201595306
8,4,-1.0,2.0,0.14738017320632935
10,5,0.0,2.0,0.012981989420950413
12,6,-1.0,2.0,0.11665524542331696
14,7,1.0,2.0,0.4355736970901489
16,8,-1.0,2.0,0.1141919270157814
18,9,-1.0,2.0,0.09562945365905762
20,10,1.0,2.0,0.4449976682662964
22,11,-1.0,2.0,0.10329583287239075
24,12,1.0,2.0,0.4131600260734558
26,13,1.0,2.0,0.37403014302253723
28,14,-1.0,2.0,0.1568622589111328
30,15,-1.0,2.0,0.15020713210105896
32,16,1.0,2.0,0.31520920991897583
34,17,-1.0,2.0,0.17616811394691467
36,18,1.0,2.0,0.30835145711898804
38,19,1.0,2.0,0.26568084955215454
40,20,0.0,2.0,2.6277413780917414e-05
